Drug_Name,Reason,Description
Angiplat 2.5mg Capsule 25'SAngiplat 6.5mg Capsule 25'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Angised 0.5mg Tablet 30'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Angispan TR 2.5mg Capsule 25'SAngispan TR 6.5mg Capsule 25'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Angistat 6.5mg Capsule 25'SAngistat 2.5mg Capsule 25'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Angitab 40mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Angitrit 20mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Angiwell 2.6mg Tablet 30'SAngiwell 6.4mg Tablet 30'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Angizem 180 mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Anglit CR 6.4mg Tablet 30'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Apresol Plus Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Asomex 5mg Tablet 15'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Aspitrate 60/150mg Capsule 15'SAspitrate 30/150mg Capsule 15'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Aspitrate G 60/150mg Capsule 10'SAspitrate G 60/150mg Capsule 15'SAspitrate G 30/150mg Capsule 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Atecard Am Tablet 15's,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Atmost 25mg Tablet 14'SAtmost 50mg Tablet 14'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Atrowok 0.60mg Injection 1ml,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Avcor 5mg Tablet 20'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Benipack 8mg Tablet 15'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Betacard XL 12.5mg Tablet 10'SBetacard XL 25mg Tablet 10'SBetacard XL 50mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Betafit 25mg Tablet 10'SBetafit 50mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Betafit AM 5/50mg Tablet 10'SBetafit AM 5/25mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Biodipin 5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
BMD Max 2.5mg Capsule 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Bradia 5mg Tablet 10'SBradia 7.5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Bradiswift 5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Cardem 60mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Cardicap 10mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Cardimax 20mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Cardimax SR 60mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Cardimon 10mg Tablet 10'SCardimon 20mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Cardipin Retard Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Carnisurge Syrup 100ml,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Carnosine 6mg Injection 2ml,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Caroza Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Cartinex 500mg Tablet 10'SCartinex OD Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Carvidon 60mg Tablet 10'SCarvidon MR Tablet 10'SCarvidon 20mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Carvidon MT 50mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Carvidon OD 60mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Caxin 0.25mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Channel SR 120mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Check At Tablet 10's,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Cilny 10mg Tablet 15'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Cinwox 25mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Coralan 5mg Tablet 14'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Coralan 7.5mg Tablet 14'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Corflo 10mg Tablet 20'SCorflo 5mg Tablet 10'S,Angina,Â prevent angina pectoris
Corvadil 10mg Tablet 10'S,Angina,Â prevent angina pectoris
Corvela Tablet 10'S,Angina,Â prevent angina pectoris
Crema 10mg Tablet 10'S,Angina,Â prevent angina pectoris
Cytogard 20mg Tablet 10'S,Angina,Â prevent angina pectoris
Cytogard OD 60mg Capsule 10'S,Angina,Â prevent angina pectoris and pain in chest
CZAR AM Tablet 10's,Angina,Â prevent angina pectoris and pain in chest
Dilcal 30mg Tablet 10'S,Angina,Â prevent angina pectoris and pain in chest
Dilcardia SR 90mg Tablet 10'S,Angina,Â prevent angina pectoris and pain in chest
Dilcontin XL 180mg Tablet 10'S,Angina,Â prevent angina pectoris and pain in chest
Diltiact 2 % Tablet 10'SDiltiact 2% Gel 30gm,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Diltiazem 90mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Diltigesic Organogel 30gm,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Dilzem 60mg Tablet 15'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Dipal F Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Diucontin K 20mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Dobustat 250mg Injection 5mlDobustat 250mg Injection 20ml,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Dopacef 200mg Injection 5ml,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
DTM 60mg Tablet 10'SDTM 30mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
DTM SR 90mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Duorandil 5mg Tablet 10'SDuorandil 10mg Tablet 20'SDuorandil 5mg Tablet 20'SDuorandil 10mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
DZM 60mg Tablet 10'SDZM 30mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Efnocar 40mg Tablet 10'SEfnocar 10mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Eldizem 30mg Tablet 10'SEldizem 60mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Elmap SR Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Embeta R 2.5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Embeta R 5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Esamlo 2.5mg Tablet 10'SEsamlo 5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Escot Cream 30gm,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Eslo 1.25mg Tablet 10'SEslo 2.5mg Tablet 10'SEslo 5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Eslomet 5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Eslova 2.5/10mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Espin 1.25mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Exenta 50mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Exinia 25mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Ezuric 50mg Tablet 10'SEzuric 25mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Felogard 5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Fibricor 0.1mg Injection 10ml,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Flavedon 20mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Flavedon MR 35mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Frusamide 40mg Tablet 15'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Frusenex 40mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Furadantin 50mg Tablet 10'SFuradantin 100mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
G3N 2.6mg Tablet 25'SG3N 6.4mg Tablet 10'SG3N 6.4mg Tablet 25'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Gennomax 250mg Injection 1'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Glyin 2.6mg Tablet 30'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Glynit CR 2.6mg Tablet 25'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
GTN 0.4mg Spray 65MdiGTN 0.4mg Spray 200MdMONIT GTN 2.6MG TABLET 25'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
GTN Sorbitrate CR 2.6mg Tablet 15'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
GTN Sorbitrate CR 6.4mg Tablet 25'SGTN Sorbitrate CR 2.6mg Tablet 30'SGTN Sorbitrate CR 6.4mg Tablet 30'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Herdilan SR 40mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
IHD 10mg Tablet 10'SIHD 40mg Tablet 10'SIHD 20mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
IHD SR OD 30mg Tablet 10'SIHD SR OD 60mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Ildamen 8mg Tablet 10'SIldamen 24mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Imdur 30mg Tablet 30'SImdur 60mg Tablet 30'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Imnit 30mg Tablet 10'SImnit 60mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Inapure 7.5mg Tablet 10'SInapure 5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Indap 2.5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Indapamide SR 1.5mg Tablet 10'S,Angina,Â prevent angina pectoris
Ionozem 30mg Tablet 10'S,Angina,Â prevent angina pectoris
Irban 5mg Tablet 10'SIrban 7.5mg Tablet 10'S,Angina,Â prevent angina pectoris
Isbid 20mg Tablet 10'SIsbid 10mg Tablet 10'S,Angina,Â prevent angina pectoris
Iski 30mg Tablet 10'SIski 60mg Tablet 10'S,Angina,Â prevent angina pectoris
Iski SR 90mg Tablet 10'S,Angina,Â prevent angina pectoris and pain in chest
Ismorin Tablet 10'SIsmo 10mg Tablet 30'SIsmo 10mg Tablet 15'SIsmo 20mg Tablet 15'SIsmo 20mg Tablet 30'S,Angina,Â prevent angina pectoris and pain in chest
Ismo Retard 40mg Tablet 7'S,Angina,Â prevent angina pectoris and pain in chest
Ismorin 60/75mg Capsule 10'S,Angina,Â prevent angina pectoris and pain in chest
Isobax 60mg Tablet 30'SIsobax 30mg Tablet 10'SIsobax 60mg Tablet 10'SIsobax OD 30mg Tablet 30'S,Angina,Â prevent angina pectoris and pain in chest
Isocor 20mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
ISOLAZINE Tablet 15'sIsolazine Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Isonit 5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Isonorm 20mg Tablet 10'SIsonorm 30mg Tablet 10'SIsonorm SR 60mg Tablet 10'SIsonorm 10mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Isonorm SR 30mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Isopreg 10mg Injection 2ml,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Isopreg SR Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Isordil 10mg Tablet 10'SIsordil 5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Isorus 20/37.5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Isowok 40mg Tablet 30'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Isowok SR Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Ivabeat 7.5mg Tablet 10'SIvabeat 5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Ivabid 7.5mg Tablet 10'SIvabid 5mg Tablet 10'SIvabid 5mg Tablet 14'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Ivables 7.5mg Tablet 10'SIvables 5mg Tablet 15'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Ivabrad 5mg Tablet 10'SIvabrad 7.5mg Tablet 15'SIvabrad 5mg Tablet 15'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Ivabratco 5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Ivamac 5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Ivanode 7.5mg Tablet 10'SIvanode 5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Ivapace 5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Ivazine 7.5mg Tablet 10'SIvazine 5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Iverzac 5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
K Ion 10mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
KADRIN SR 60mg Tablet 10's,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Kaizem CD 120mg Capsule 7'SKaizem CD 90mg Capsule 7'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Kcor 10mg Tablet 20'SKcor 5mg Tablet 20'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Korandil 10mg Tablet 10'SKorandil 48mg Injection 1Korandil 5mg Tablet 10'SKorandil OD 20mg Tablet 10,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Korandil OD 10mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Lasix HD 500mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
LEONITE 2.6mg Tablet 10'sLEONITE 6.4mg Tablet 10's,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
LHD 10mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Lintam At Tablet 10's,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Mela 2.5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Metagard 60mg Tablet 10'SMetagard CR 35mg Tablet 10'SMetagard Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Metagard CR 60mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Meto AM 50mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Metozide 5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Milicor 10mg Injection 10ml,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Monicor 20mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Monit 20mg Tablet 10'SMonit 20mg Tablet 15'SMONIT GTN 6.4MG TABLET 25'SMonit SR 30mg Tablet 10'SMonit 10mg Tablet 15'SMonit SR 30mg Tablet 15'SMonit 10mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Monit AS 60/75mg Capsule 10'SMonit AS 30/75mg Capsule 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Monit AS G 30/150mg Capsule 10'SMonit AS G 60/150mg Capsule 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Monit AS SR 30/75mg Capsule 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Monit Gtn 6.4mg Tablet 30'SMonit Gtn 2.6Mg Tablet 60'sMonit Gtn 2.6mg Tablet 30'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Monit OD Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Monit SR 60mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Mono 30mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Mono Isordil 20mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Mono Isordil SR 60mg Capsule 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Monobid 20mg Tablet 10'S,Angina,Â prevent angina pectoris
Monocontin 25mg Tablet 7'SMonocontin 50mg Tablet 7'SMonocontin 25mg Tablet 10'S,Angina,Â prevent angina pectoris
Monosorbex 20mg Tablet 20'S,Angina,Â prevent angina pectoris
Monosorbitrate 10mg Tablet 10'SMONOSORBITRATE 20mg Tablet 10's,Angina,Â prevent angina pectoris
MONOSORBITRATE OD 30MG TABLET 10'S,Angina,Â prevent angina pectoris
Monosprin 60mg Capsule 10'SMonosprin 30mg Capsule 10'S,Angina,Â prevent angina pectoris and pain in chest
Monosprin DS 30/150mg Tablet 10'SMonosprin DS 60/150mg Tablet 10'S,Angina,Â prevent angina pectoris and pain in chest
Monotrate OD 50mg Tablet 10'SMonotrate 20mg Tablet 10'SMonotrate 40mg Tablet 10'SMonotrate SR 60mg Tablet 10'SMonotrate 10mg Tablet 10'SMonotrate SR 30mg Tablet 10'S,Angina,Â prevent angina pectoris and pain in chest
Monotrate OD 25mg Tablet 10'S,Angina,Â prevent angina pectoris and pain in chest
Monotus 20mg Tablet 10'SMonotus 10mg Tablet 10'S,Angina,Â prevent angina pectoris and pain in chest
Muzika Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Myodura 5mg Tablet 14'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Myonerg 20mg Tablet 20'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Myonit SR 2.6mg Tablet 10'SMyonit SR 2.6mg Tablet 30'SMyonit Insta Tablet 30'SMyonit Injection 5mlMyonit 0.5mg Tablet 30'SMyonit Injection 10ml,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Myonit SR 6.4mg Tablet 30'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Natriem 60mg Tablet 10'SNatriem 30mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Nestin CR 6.4mg Tablet 30'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Nicardia Retard 10mg Tablet 10'SNicardia Retard 20mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Nicardia Retard HS 10mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Nicardia Retard SR 30mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Nicoday 10mg Tablet 20'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Nicoduce OD 10mg Tablet 10'SNicoduce 5mg Tablet 20'SNicoduce 10mg Tablet 20'SNicoduce 48mg Injection 1'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Nicoduce OD 20mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Nicopress 10mg Tablet 10'SNicopress 5mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
NICOREX 20mg Tablet 10's,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Nicostar 10mg Tablet 20'SNicostar 5mg Tablet 20'SNicostar 2mg Injection 1mlNicostar OD 10mg Tablet 10'SNicostar 48mg Injection 1'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Nifedine 10mg Tablet 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Nifelat 5mg Capsule 10'SNifelat 10mg Capsule 10'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
NIG 5mg Injection 5ml,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Niglin CR 6.4mg Tablet 25'SNiglin CR 2.6mg Tablet 25'S,Angina,prevents angina and  works by widening the blood vessels in your heart to allow an increased amount of blood to flow to areas which need it
Adzolam 0.25mg Tablet 10'S,Anxiety,"control anxiety and psychosomatic symptoms such as headache, fatigue, tachycardia, sweating"
Aedon 10mg Tablet 14'SAedon 5mg Tablet 14'S,Anxiety,"control anxiety and psychosomatic symptoms such as headache, fatigue, tachycardia, sweating"
Alam 0.50mg Tablet 10'SAlam 0.25mg Tablet 10'S,Anxiety,"control anxiety and psychosomatic symptoms such as headache, fatigue, tachycardia, sweating"
Alark 0.25mg Tablet 10'SAlark 0.5mg Tablet 10'S,Anxiety,"control anxiety and psychosomatic symptoms such as headache, fatigue, tachycardia, sweating"
Alarm 0.50mg Tablet 10'S,Anxiety,"control anxiety and psychosomatic symptoms such as headache, fatigue, tachycardia, sweating"
Albium 10mg Tablet 10'S,Anxiety,"control anxiety and psychosomatic symptoms such as headache, fatigue, tachycardia, sweating"
Alcalm 0.25mg Tablet 10'SAlcalm 0.5mg Tablet 10'S,Anxiety,"control anxiety and psychosomatic symptoms such as headache, fatigue, tachycardia, sweating"
Aleez 0.25mg Tablet 10'S,Anxiety,"control anxiety and psychosomatic symptoms such as headache, fatigue, tachycardia, sweating"
